relationship_id,source_id,source,relationship,target_id,target,evidence,period,evidence_summary,basis,follow_up,source_url
,TL-NH-012,Manchester Field-Naturalists' Society founded.,organisation,ORG-NH-005,Manchester Field-Naturalists' Society,On the record,,,Organisation column for 1860: Manchester Field-Naturalists' Society,,https://lib-archives.ex.ac.uk/Record.aspx?id=EUL+MS+277&src=CalmView.Catalog
,TL-BASE-005,Union and Emancipation Society founded.,organisation,ORG-BASE-006,Union and Emancipation Society,On the record,,,Organisation column for 1863: Union and Emancipation Society,,Uploaded workbook: VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-NH-013,Lydia Becker wins a gold medal in a botanical competition for herbarium specimens.,took part in,200068,Lydia Becker,On the record,,,Key figures column for 1864: Lydia Becker,,https://www.museum.manchester.ac.uk/collections/botany
,TL-NH-013,Lydia Becker wins a gold medal in a botanical competition for herbarium specimens.,organisation,COL-004,Private collections and museum institutions,On the record,,,Organisation column for 1864: Botanical Competition - formal organiser to verify,,https://www.museum.manchester.ac.uk/collections/botany
,TL-BASE-006,Manchester National Society for Women's Suffrage founded.,took part in,200068,Lydia Becker,On the record,,,Key figures column for 1867: Lydia Becker and others,,Uploaded workbook: VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-BASE-006,Manchester National Society for Women's Suffrage founded.,organisation,ORG-BASE-005,Manchester National Society for Women's Suffrage,On the record,,,Organisation column for 1867: Manchester National Society for Women's Suffrage,,Uploaded workbook: VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-BASE-007,Cross Street Chapel rebuilt.,organisation,PL-BASE-059,Cross Street Chapel,On the record,,,Organisation column for 1869: Cross Street Chapel,,Uploaded workbook: VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-BASE-008,Ancoats Dispensary rebuilt as a key medical-aid site.,organisation,PL-BASE-060,Ancoats Dispensary,On the record,,,Organisation column for 1874: Ancoats Dispensary,,Uploaded workbook: VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-BASE-009,Manchester Town Hall and Co-operative Wholesale Society HQ completed.,organisation,ORG-BASE-001,Manchester Corporation,On the record,,,Organisation column for 1877: Manchester Corporation,,Uploaded workbook: VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-BASE-009,Manchester Town Hall and Co-operative Wholesale Society HQ completed.,organisation,ORG-BASE-011,Manchester Co-operative Society,On the record,,,Organisation column for 1877: CWS,,Uploaded workbook: VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-NH-014,Manchester Microscopical Society refounded on a broader basis.,took part in,COL-004,Private collections and museum institutions,On the record,,,Key figures column for 1880: Society founders and members,,https://www.manchestermicroscopical.org.uk/mmshist.html
,TL-NH-014,Manchester Microscopical Society refounded on a broader basis.,organisation,ORG-NH-006,Manchester Microscopical Society,On the record,,,Organisation column for 1880: Manchester Microscopical Society,,https://www.manchestermicroscopical.org.uk/mmshist.html
,TL-NH-015,Manchester Museum opens to the public in the Owens College complex.,organisation,ORG-NH-007,Owens College / Manchester Museum natural-history structures,On the record,,,Organisation column for 1888: Manchester Museum / Owens College,,https://www.manchester.ac.uk/about/history-heritage/history/buildings/museum/
,TL-NH-015,Manchester Museum opens to the public in the Owens College complex.,happened at,PL-NH-015,"Manchester Museum, Oxford Road",On the record,,,Place column for 1888: Oxford Road,,https://www.manchester.ac.uk/about/history-heritage/history/buildings/museum/
,TL-BASE-010,Manchester Ship Canal opens.,organisation,PL-BASE-034,Manchester Ship Canal,On the record,,,Organisation column for 1894: Manchester Ship Canal Company,,Uploaded workbook: VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-BASE-011,Manchester and Salford Women's Trades Council founded.,organisation,ORG-BASE-004,Manchester and Salford Women's Trades Council,On the record,,,Organisation column for 1895: Manchester and Salford Women's Trades Council,,Uploaded workbook: VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-NH-016,Manchester Entomological Society founded.,took part in,COL-004,Private collections and museum institutions,On the record,,,Key figures column for 1902: Early society members,,https://www.northwestinvertebrates.org.uk/document/manchester-entomological-society-annual-reports-proceedings-and-transactions-1904-1963-vols-1-to-61/
,TL-NH-016,Manchester Entomological Society founded.,organisation,ORG-NH-008,Manchester Entomological Society,On the record,,,Organisation column for 1902: Manchester Entomological Society,,https://www.northwestinvertebrates.org.uk/document/manchester-entomological-society-annual-reports-proceedings-and-transactions-1904-1963-vols-1-to-61/
,TL-NH-017,"Melvill, Grindon and Bailey personal herbaria enter Manchester Museum in sequence.",took part in,NH-010,Cosmo Melvill,On the record,,,Key figures column for 1904 / 1910 / 1917: Cosmo Melvill,,https://herbologymanchester.wordpress.com/wp-content/uploads/2017/10/herb_manch-contents-guide.pdf
,TL-NH-017,"Melvill, Grindon and Bailey personal herbaria enter Manchester Museum in sequence.",took part in,VM-ADD-011,Leo H. Grindon,On the record,,,Key figures column for 1904 / 1910 / 1917: Leo H. Grindon,,https://herbologymanchester.wordpress.com/wp-content/uploads/2017/10/herb_manch-contents-guide.pdf
,TL-NH-017,"Melvill, Grindon and Bailey personal herbaria enter Manchester Museum in sequence.",took part in,NH-009,Charles Bailey,On the record,,,Key figures column for 1904 / 1910 / 1917: Charles Bailey,,https://herbologymanchester.wordpress.com/wp-content/uploads/2017/10/herb_manch-contents-guide.pdf
,TL-NH-017,"Melvill, Grindon and Bailey personal herbaria enter Manchester Museum in sequence.",organisation · happened at,PL-NH-015,"Manchester Museum, Oxford Road",On the record,,,Organisation column for 1904 / 1910 / 1917: Manchester Museum / Place column for 1904 / 1910 / 1917: Oxford Road,,https://herbologymanchester.wordpress.com/wp-content/uploads/2017/10/herb_manch-contents-guide.pdf
,TL-WOM-001,Formation of the Manchester Society for Women's Suffrage,took part in,200068,Lydia Becker,On the record,,,Key figures column for January 1867: Lydia Becker,,VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-WOM-001,Formation of the Manchester Society for Women's Suffrage,took part in,GH-WOLSTENHOLME,Elizabeth Wolstenholme Elmy,On the record,,,Key figures column for January 1867: Elizabeth Wolstenholme-Elmy,,VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-WOM-001,Formation of the Manchester Society for Women's Suffrage,took part in,200099,Ursula Mellor Bright,On the record,,,Key figures column for January 1867: Ursula Bright,,VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-WOM-001,Formation of the Manchester Society for Women's Suffrage,took part in,200032,Jacob Bright,On the record,,,Key figures column for January 1867: Jacob Bright,,VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-WOM-001,Formation of the Manchester Society for Women's Suffrage,took part in,GH-RPANKHURST,Richard Pankhurst,On the record,,,Key figures column for January 1867: Richard Pankhurst,,VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-WOM-002,First public meeting of the Manchester National Society for Women's Suffrage,took part in,200068,Lydia Becker,On the record,,,Key figures column for 14 April 1868: Lydia Becker,,VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-WOM-002,First public meeting of the Manchester National Society for Women's Suffrage,took part in,GH-POCHIN,Agnes Pochin,On the record,,,Key figures column for 14 April 1868: Agnes Pochin,,VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-WOM-002,First public meeting of the Manchester National Society for Women's Suffrage,took part in,GH-ROBERTSON,Anne Robertson,On the record,,,Key figures column for 14 April 1868: Anne Robertson,,VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-WOM-002,First public meeting of the Manchester National Society for Women's Suffrage,took part in,GH-MCLAREN,Priscilla Bright McLaren,On the record,,,Key figures column for 14 April 1868: Priscilla Bright McLaren,,VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-WOM-002,First public meeting of the Manchester National Society for Women's Suffrage,happened at,PL-BASE-022,Free Trade Hall,On the record,,,"Place column for 14 April 1868: Free Trade Hall, Manchester",,VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-WOM-003,Establishment of a new executive committee for the Manchester National Society for Women's Suffrage,took part in,200068,Lydia Becker,On the record,,,Key figures column for 30 October 1868: Lydia Becker,,VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-WOM-003,Establishment of a new executive committee for the Manchester National Society for Women's Suffrage,took part in,GH-WOLSTENHOLME,Elizabeth Wolstenholme Elmy,On the record,,,Key figures column for 30 October 1868: Elizabeth Wolstenholme-Elmy,,VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-WOM-003,Establishment of a new executive committee for the Manchester National Society for Women's Suffrage,took part in,200099,Ursula Mellor Bright,On the record,,,Key figures column for 30 October 1868: Ursula Bright,,VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-WOM-003,Establishment of a new executive committee for the Manchester National Society for Women's Suffrage,took part in,200032,Jacob Bright,On the record,,,Key figures column for 30 October 1868: Jacob Bright,,VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-WOM-003,Establishment of a new executive committee for the Manchester National Society for Women's Suffrage,took part in,GH-BUTLER,Josephine Butler,On the record,,,Key figures column for 30 October 1868: Josephine Butler,,VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-WOM-004,Founding of the Women's Suffrage Journal,took part in,200068,Lydia Becker,On the record,,,Key figures column for 1870: Lydia Becker,,VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-WOM-005,Appointment of Esther Roper as secretary of the Manchester National Society for Women's Suffrage,took part in,200084,Esther Roper,On the record,,,Key figures column for 1893: Esther Roper,,VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-WOM-006,Formation of the Manchester and Salford Women's Trades Council (TL-WOM-006),took part in,GH-DICKENSON,Sarah Dickenson,On the record,,,Key figures column for 1895: Sarah Dickenson,,VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-WOM-006,Formation of the Manchester and Salford Women's Trades Council (TL-WOM-006),took part in,GH-ASHWELL,Frances Ashwell,On the record,,,Key figures column for 1895: Frances Ashwell,,VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-WOM-006,Formation of the Manchester and Salford Women's Trades Council (TL-WOM-006),took part in,200085,Eva Gore-Booth,On the record,,,Key figures column for 1895: Eva Gore-Booth,,VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-WOM-006,Formation of the Manchester and Salford Women's Trades Council (TL-WOM-006),happened at,PL-BASE-029,Manchester Town Hall,On the record,,,Place column for 1895: Manchester Town Hall,,VictorianManchester_KeyPeople.xlsx(1).pdf
